,Coefficient
AdultWeekday,20.09027669246339
clusters,2.640820704386738
vertical_drop,2.1190294597943433
triple,1.4249744355363414
daysOpenLastYear,1.2957788938158321
surface,1.2911042267332047
quad,1.1876413798078287
Runs,1.066793702896096
SkiableTerrain_ac,0.957236455129792
fastQuads,0.8465288551766241
averageSnowfall,0.8319935498263291
projectedDaysOpen,0.7320432888656088
total_chairs,0.6481617440201745
fastSixes,0.52593690930911
NightSkiing_ac,0.48740996110796714
LongestRun_mi,0.30798968855278547
double,0.24855892941767918
yearsOpen,0.24798872206050082
trams,0.1898048603196889
Snow Making_ac,0.10319942534910091
TerrainParks,0.0784705410341463
fastEight,0.0630358672589434
